Security Code,Security Id,SECURITY_NAME,Status,Group,Face Value,ISIN No,Industry,Instrument
513430,MAITRI,MAITRI ENTERPRISES LTD,Active,XT,10,INE501L01024,Aluminium,Equity
539289,MJCO,MAJESCO LTD,Active,B ,5,INE898S01029,IT Consulting & Software,Equity
500267,MAJESAUT,MAJESTIC AUTO LTD,Active,X ,10,INE201B01022,2/3 Wheelers,Equity
526857,MAJESIN,MAJESTIC INDUSTRIES LTD,Delisted,P ,10,NA          ,Iron & Steel/IntermProducts,Equity
539229,MRSS,MAJESTIC RESEARCH SERVICES & SOLUTIONS LTD,Active,MT,10,INE196R01012,Diversified,Equity
506919,MAKERSL,MAKERS LABORATORIES LTD,Active,XT,10,INE987A01010,Pharmaceuticals,Equity
501473,MALTC,MALABAR TRADING COLTD,Suspended,X ,10,INE438D01018,MiscCommercial Services,Equity
513601,MALHOST,MALHOTRA STEEL INDUSTRIES LTD,Delisted,P ,10,NA          ,Iron & Steel Products,Equity
539400,MALLCOM,MALLCOM (INDIA) LTD,Active,X ,10,INE389C01015,Other Apparels & Accessories,Equity
532728,MALUPAPER,MALU PAPER MILLS LTD,Active,B ,10,INE383H01017,Paper & Paper Products,Equity
532048,MALVICAE,MALVICA ENGINEERING LTD,Delisted,XD,10,INE008D01019,Other ElectEquip/ Prod,Equity
530645,MALVI,MALVIKA STEEL LTD,Delisted,Z ,10,INE190A01011,CommTrading  & Distribution,Equity
502995,MALWACOTT,MALWA COTTON SPINNING MILLS LTD,Delisted,XT,10,INE272B01015,Textiles,Equity
513269,MANINDS,MAN INDUSTRIES (INDIA) LTD,Active,T ,5,INE993A01026,Construction & Engineering,Equity
533169,MANINFRA,MAN INFRACONSTRUCTION LTD,Active,B ,2,INE949H01023,Construction & Engineering,Equity
539045,MNKALCOLTD,MANAKSIA ALUMINIUM COMPANY LTD,Active,B ,1,INE859Q01017,Aluminium,Equity
539046,MNKCMILTD,MANAKSIA COATED METALS & INDUSTRIES LTD,Active,B ,1,INE830Q01018,Iron & Steel/IntermProducts,Equity
532932,MANAKSIA,MANAKSIA LTD,Active,B ,2,INE015D01022,Containers & Packaging,Equity
539044,MANAKSTELTD,MANAKSIA STEELS LTD,Active,B ,1,INE824Q01011,Iron & Steel/IntermProducts,Equity
500268,MANALIPETC,MANALI PETROCHEMICALS LTD,Active,B ,5,INE201A01024,Petrochemicals,Equity
531213,MANAPPURAM,MANAPPURAM FINANCE LTD,Active,A ,2,INE522D01027,Finance (including NBFCs),Equity
540402,MANAS,MANAS PROPERTIES LTD,Active,M ,10,INE800W01019,Realty,Equity
524390,MHNAVPH,MANAV PHARMA LTD,Delisted,P ,10,NA          ,Pharmaceuticals,Equity
505850,MANCREDIT,MANGAL CREDIT & FINCORP LTD,Active,X ,10,INE545L01039,Finance (including NBFCs),Equity
502157,MANGLMCEM,MANGALAM CEMENT LTD,Active,B ,10,INE347A01017,Cement & Cement Products,Equity
532637,MANGALAM,MANGALAM DRUGS AND ORGANICS LTD,Active,B ,10,INE584F01014,Pharmaceuticals,Equity
537800,MANGIND,MANGALAM INDUSTRIAL FINANCE LTD,Active,XT,1,INE717C01025,Finance (including NBFCs),Equity
514418,MANORG,MANGALAM ORGANICS LTD,Active,X ,10,INE370D01013,Commodity Chemicals,Equity
539275,MSL,MANGALAM SEEDS LTD,Active,T ,10,INE829S01016,Other Agricultural Products,Equity
516007,MANGTIMBER,MANGALAM TIMBER PRODUCTS LTD,Active,B ,10,INE805B01012,Forest Products,Equity
514492,MANGALVEN,MANGALAM VENTURES LTD,Delisted,B ,10,INE198E01016,Other Apparels & Accessories,Equity
530011,MANGCHEFER,MANGALORE CHEMICALS & FERTILIZERS LTD,Active,B ,10,INE558B01017,Fertilizers,Equity
500109,MRPL,MANGALORE REFINERY AND PETROCHEMICALS LTD,Active,A ,10,INE103A01014,Refineries/ Petro-Products,Equity
530243,MANGASOF,MANGALYA SOFT-TECH LTD,Suspended,Z ,10,INE820B01011,IT Software Products,Equity
507938,MNPLFIN,MANIPAL FINANCE CORPORATION LTD,Active,P ,10,INE798E01013,Finance (including NBFCs),Equity
533078,MANJEERA,MANJEERA CONSTRUCTIONS LTD,Active,X ,10,INE320D01018,Realty,Equity
532950,MANJUSHREE,MANJUSHREE TECHNOPACK LTD,Delisted,B ,10,INE435H01015,Containers & Packaging,Equity
531801,MANNA,MANNA GLASS-TECH INDUSTRIES LTD,Delisted,XD,10,INE552C01018,Industrial Machinery,Equity
540396,MANOMAY,MANOMAY TEX INDIA LTD,Active,M ,10,INE784W01015,Textiles,Equity
